Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
create channel test,FABP-155,17765,15444,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,MichaelWang,MichaelWang,MichaelWang,12/Jun/17 11:40 AM,20/Jul/18 12:56 AM,28/Oct/23 2:25 AM,13/Sep/17 5:07 PM,,,,03/Jul/17 12:00 AM,0,SDK-Python,,"As I read the node sdk code, I thinkcreating channel will be my first task to start this line item.",,baohua,MichaelWang,,,,,432000,432000,,0%,432000,432000,,,,,,,,,,,,,FABP-154,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy093:",,,,,,Sprint 4,,,,30.0,,,,,,,,,,,,baohua,MichaelWang,,,,,,,,"27/Jul/17 10:28 AM;MichaelWang;60% have been finished. This will will be done before next week.

 ;;;","13/Sep/17 5:07 PM;baohua;https://gerrit.hyperledger.org/r/#/c/13119/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
join channel test,FABP-156,19511,15444,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,MichaelWang,MichaelWang,MichaelWang,27/Jul/17 10:32 AM,20/Jul/18 12:56 AM,28/Oct/23 2:25 AM,05/Feb/18 9:41 PM,,,,,0,SDK-Python,,This is the second of e2e test.,,MichaelWang,,,,,,288000,288000,,0%,288000,288000,,,,,,,,,,,,,FABP-149,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy9sv:",,,,,,Sprint 4,,,,10.0,,,,,,,,,,,,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
install and initiate chain code,FABP-157,19512,15444,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,tonyyang132,MichaelWang,MichaelWang,27/Jul/17 10:34 AM,20/Jul/18 12:56 AM,28/Oct/23 2:25 AM,09/Feb/18 10:06 PM,,,,,0,SDK-Python,,,,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,FABP-154,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy9t3:",,,,,,Sprint 4,,,,20.0,,,,,,,,,,,,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade chain code,FABP-158,19513,15444,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,bryanhuang,MichaelWang,MichaelWang,27/Jul/17 10:36 AM,20/Jul/18 12:56 AM,28/Oct/23 2:25 AM,09/Feb/18 10:59 PM,,,,,0,,,,,bryanhuang,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,FABP-154,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy9tb:",,,,,,Sprint 4,,,,30.0,,,,,,,,,,,,bryanhuang,MichaelWang,,,,,,,,"30/Sep/17 1:29 PM;bryanhuang;upgrade process is similar with https://jira.hyperledger.org/browse/FAB-3783, install new chaincode and send an upgrade proposal. ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
invoke transaction,FABP-159,19514,15444,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Duplicate,hanhzf,MichaelWang,MichaelWang,27/Jul/17 10:37 AM,30/Jul/18 11:55 AM,28/Oct/23 2:25 AM,30/Jul/18 11:55 AM,,,,,0,SDK-Python,,,,MichaelWang,qiang0723,,,,,,,,,,,,,,,,,,,,,,FABP-113,FABP-154,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy9tj:",,,,,,Sprint 4,,,,10.0,,,,,,,,,,,,MichaelWang,qiang0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add more operations in the tutorial,FABP-160,32385,,Documentation,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,30/Jul/18 11:56 AM,30/Jul/18 6:07 PM,28/Oct/23 2:25 AM,30/Jul/18 6:07 PM,,,,,0,,,Add more operations for the network lifecycles in the tutorial like fabric-ca.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzkqf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"30/Jul/18 6:07 PM;baohua;https://gerrit.hyperledger.org/r/#/c/24921/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix error & update tutorial,FABP-161,32562,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,04/Aug/18 8:18 PM,07/Aug/18 10:51 AM,28/Oct/23 2:25 AM,07/Aug/18 10:51 AM,,,,,0,fabric-sdk-py,,"* Fix format of tutorial
* Add query installed chaincode",,baohua,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzljj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,DexHunter,,,,,,,,"04/Aug/18 8:25 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/25125/;;;","07/Aug/18 10:51 AM;baohua;https://gerrit.hyperledger.org/r/#/c/25125/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Update query_block_by_hash,FABP-162,33314,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,29/Aug/18 7:12 PM,07/Sep/18 2:19 AM,28/Oct/23 2:25 AM,31/Aug/18 12:07 PM,,,,,0,,,Update query_block_by_hash & Update related e2e_test & Update tutorials,,DexHunter,,,,,,,,,,,,,,,,,,FABP-13,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzopb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"29/Aug/18 7:15 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/25944/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release v0.7.0,FABP-163,33337,,Epic,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,baohua,baohua,30/Aug/18 11:56 AM,11/Sep/18 10:36 AM,28/Oct/23 2:25 AM,11/Sep/18 10:36 AM,,,,,0,,,"v0.7.0 is majorly for fabric 1.x release, and focus on major APIs except the fabric-ca.",,baohua,DexHunter,,,,,,,,,,,,,FABP-164,FABP-166,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Reviewed,Unset,Required,ghx-label-7,,v0.7.0,To Do,No,,Required,No,,,"1|hzzosn:",,,,Unset,Done,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,DexHunter,,,,,,,,"05/Sep/18 3:23 AM;DexHunter;[~baohua] Hi! I need some intrustructions for the release beside [changelog.sh|https://github.com/hyperledger/fabric-sdk-py/blob/master/scripts/changelog.sh]  Thanks!;;;","11/Sep/18 10:36 AM;baohua;https://gerrit.hyperledger.org/r/#/c/26111/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Update documentation,FABP-164,33338,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,30/Aug/18 11:57 AM,30/Aug/18 11:31 PM,28/Oct/23 2:25 AM,30/Aug/18 11:31 PM,,,,,0,,,Update documentation for the v0.7.0 release,,baohua,,,,,,,,,,,,,,,,,,FABP-163,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzosv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"30/Aug/18 11:31 PM;baohua;https://gerrit.hyperledger.org/r/#/c/25966/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix configtx.yaml & docs,FABP-165,33447,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,04/Sep/18 4:03 PM,04/Sep/18 10:24 PM,28/Oct/23 2:25 AM,04/Sep/18 10:24 PM,,,,,0,,,There are something wrong with the configtx.yaml & GOPATH in my test. This issue will fix these two probelm,,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp9z:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update tutorial on operations for a different MSP,FABP-166,33478,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,05/Sep/18 3:18 AM,05/Sep/18 7:29 PM,28/Oct/23 2:25 AM,05/Sep/18 7:29 PM,,,,,0,,,Update tutorial on operations for a different MSP,,DexHunter,,,,,,,,,,,,,,,,,,FABP-163,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpfz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"05/Sep/18 3:21 AM;DexHunter;https://gerrit.hyperledger.org/r/#/c/26079/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Maintainer list,FABP-167,33675,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,12/Sep/18 3:26 PM,12/Sep/18 4:16 PM,28/Oct/23 2:25 AM,12/Sep/18 4:16 PM,,,,,0,,,Mark David as retired and nominate dexhunter for new maintainer.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzqi7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create virtualenv with default set to python3,FABP-168,33898,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Low,Done,DexHunter,DexHunter,DexHunter,19/Sep/18 5:36 PM,21/Feb/19 11:12 AM,28/Oct/23 2:25 AM,21/Feb/19 11:12 AM,,,,,0,,,"There is a request from rocket chat that when creating a virtual environment, the default env should be python3[1]

[1] https://chat.hyperledger.org/channel/fabric-sdk-py?msg=ud97n5TZFJiBFEkhp",,baohua,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzrj3:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,DexHunter,,,,,,,,"21/Oct/18 4:34 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/27116/;;;","21/Feb/19 11:11 AM;baohua;It's already there if you run `make venv` today.
See the Makefile. And it is also described in the documentation.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Update payload to be signed in auth token,FABP-169,34154,,Bug,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,GuillaumeCisco,skarim,skarim,27/Sep/18 11:54 PM,29/Jan/19 7:09 PM,28/Oct/23 2:25 AM,29/Jan/19 7:09 PM,,,,,0,,,"Currently, the OAuth token is in the form: <base64 encoded user's cert>.<base64 encoding of the signature> The signature is on the payload of the form: <base64 encoding of request body>.<base64 encoding of user's cert> This payload needs to be changed to include the request method and URI to make it more secure. So, the payload is form the form: <request method>.<url path>.<base64 encoding of request body>.<base64 encoding of user's cert>",,DexHunter,GuillaumeCisco,skarim,,,,,,,,,,,,,,,,,,,,,,FABC-174,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzswf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,GuillaumeCisco,skarim,,,,,,,"13/Dec/18 11:50 PM;skarim;Hi [~baohua], is this something you could look into?;;;","29/Jan/19 7:03 PM;GuillaumeCisco;Just implemented it for the register method. https://jira.hyperledger.org/browse/FABP-184
Can be closed.;;;","29/Jan/19 7:09 PM;DexHunter;yep, thanks [~GuillaumeCisco];;;",,,,,,,,,,,,,,,,,,,,,,,,,,
support fabric v1.3.0,FABP-170,34542,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,10/Oct/18 12:33 PM,21/Oct/18 4:35 PM,28/Oct/23 2:25 AM,21/Oct/18 4:35 PM,,,,,0,,,"Things need to be updated:
* Version of images/tools
* gRPC Protobuf files (Update existing ones and pickup the missed others)
* Re-generate all credentials and artifacts: make gen_config

",,DexHunter,,,,,,,,,,,,,,FABP-171,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzuef:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"21/Oct/18 2:14 AM;DexHunter;https://gerrit.hyperledger.org/r/#/c/27116/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
add scripts for config generation,FABP-171,34655,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,14/Oct/18 6:43 AM,15/Oct/18 3:34 PM,28/Oct/23 2:25 AM,15/Oct/18 3:34 PM,,,,,0,,,Add some scripts to generate configurations,,baohua,DexHunter,,,,,,,,,,,,,,,,,FABP-170,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzuzz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,DexHunter,,,,,,,,"15/Oct/18 3:34 PM;baohua;https://gerrit.hyperledger.org/r/#/c/26980/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve asynchronous mechanism.,FABP-172,34669,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,MichaelWang,MichaelWang,15/Oct/18 12:33 PM,24/May/19 9:56 AM,28/Oct/23 2:25 AM,24/May/19 9:56 AM,,,,,0,,,Now rx/queue is used for the asynchronous communication with fabric network. These two are 3rd party packages and make code ugly. Later on the python 3.x will be only supported for sdk. And the await/async is a nice property in python3.x now.  This update will make the code more pythonic.,,DexHunter,MichaelWang,,,,,,,,,,,,,FABP-173,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzv33:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,MichaelWang,,,,,,,,"27/Jan/19 9:52 AM;DexHunter;FABP-173 related;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
update Rx to async/await,FABP-173,34797,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,20/Oct/18 5:09 PM,24/May/19 9:56 AM,28/Oct/23 2:25 AM,24/May/19 9:56 AM,,,,,0,,,"With the RxPy, it is very hard to identify the problems sometimes (I met a lot of empty queue problems and couldn't identify the cause of it). So as suggested by others [~grapebaba] and [~baohua]  @wangdong , we should update to python async await method which seems more elegant and might make the debugging easier",,baohua,DexHunter,,,,,,,,,,,,,FABP-185,,,,FABP-172,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzvu7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,DexHunter,,,,,,,,"21/Oct/18 12:01 PM;baohua;Agree, let's do it!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
update tutorials for new version,FABP-174,34805,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,21/Oct/18 4:35 PM,22/Oct/18 9:18 PM,28/Oct/23 2:25 AM,22/Oct/18 9:18 PM,,,,,0,,,,,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzvvz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable query feature,FABP-175,28967,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,High,Done,,MichaelWang,MichaelWang,29/Mar/18 5:19 PM,03/Mar/19 2:56 PM,28/Oct/23 2:25 AM,03/Mar/19 2:56 PM,,,,,0,SDK-Python,Usability,Enable query feature,,baohua,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz1dr:",,,,,,,,,,,,,,,,,,,,,,baohua,MichaelWang,,,,,,,,"11/Apr/18 2:02 PM;baohua;https://gerrit.hyperledger.org/r/#/c/20073/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
query installed chaincodes,FABP-176,29057,28967,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,MichaelWang,MichaelWang,MichaelWang,31/Mar/18 11:43 PM,24/Oct/18 5:18 PM,28/Oct/23 2:25 AM,09/Apr/18 10:22 PM,,,,,0,,,,,baohua,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz43z:",,,,,,,,,,,,,,,,,,,,,,baohua,MichaelWang,,,,,,,,"09/Apr/18 10:22 PM;baohua;https://gerrit.hyperledger.org/r/#/c/20073/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
query instantiate chaicodes,FABP-177,29058,28967,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,MichaelWang,MichaelWang,31/Mar/18 11:45 PM,24/Oct/18 5:18 PM,28/Oct/23 2:25 AM,07/May/18 5:52 PM,,,,,0,,,,,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz447:",,,,,,,,,,,,,,,,,,,,,,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
query info from channel with fabric-sdk-py,FABP-178,29059,28967,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,MichaelWang,MichaelWang,31/Mar/18 11:46 PM,24/Oct/18 5:18 PM,28/Oct/23 2:25 AM,05/Jul/18 10:27 PM,,,,,0,,,,,DexHunter,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz44f:",,,,,,,,,,,,,,,,,,,,,,DexHunter,MichaelWang,,,,,,,,"05/Jul/18 9:06 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/24065/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
query transaction,FABP-179,29060,28967,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,Sushilpaneru,MichaelWang,MichaelWang,31/Mar/18 11:47 PM,24/Oct/18 5:18 PM,28/Oct/23 2:25 AM,24/May/18 7:46 PM,,,,,0,,,,,baohua,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz44n:",,,,,,,,,,,,,,,,,,,,,,baohua,MichaelWang,,,,,,,,"24/May/18 7:46 PM;baohua;https://gerrit.hyperledger.org/r/#/c/21805/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
query block and query block by hash,FABP-180,29061,28967,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,MichaelWang,MichaelWang,31/Mar/18 11:47 PM,24/Oct/18 5:18 PM,28/Oct/23 2:25 AM,04/Jul/18 12:55 PM,,,,,0,,,,,DexHunter,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz44v:",,,,,,,,,,,,,,,,,,,,,,DexHunter,MichaelWang,,,,,,,,"04/Jul/18 12:55 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/22975/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
query by chain code,FABP-181,29062,28967,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,MichaelWang,MichaelWang,31/Mar/18 11:49 PM,31/Jan/19 2:44 PM,28/Oct/23 2:25 AM,31/Jan/19 2:44 PM,,,,,0,,,,,baohua,davidkel,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz453:",,,,,,,,,,,,,,,,,,,,,,baohua,davidkel,MichaelWang,,,,,,,"04/Sep/18 11:25 PM;davidkel;Not sure why this is in the Node SDK Project. FABN-818 appears to also have been errornously raised under this project as well.;;;","31/Jan/19 2:44 PM;baohua;https://gerrit.hyperledger.org/r/#/c/29045/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
implement discovery API,FABP-182,35579,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,26/Nov/18 1:58 AM,15/Mar/19 7:40 PM,28/Oct/23 2:25 AM,03/Mar/19 2:38 PM,,,,,0,,,"* add discovery/gossip proto
* implement Channel API for discovery",,DexHunter,,,,,,,,,,,,,,FABP-186,,,,,,,,,,,FABP-204,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0002v:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"03/Mar/19 2:38 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/29762/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update tutorial,FABP-183,36481,,Documentation,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,rsoeldner,rsoeldner,rsoeldner,05/Jan/19 5:22 PM,29/Jan/19 7:10 PM,28/Oct/23 2:25 AM,29/Jan/19 7:10 PM,,,,,0,,,"Align the tutorial `docs/tutorial.md` with current code base,for example

 
{code:java}
from hfc.fabric_ca import CAClient
 cli = CAClient(server_addr=""127.0.0.1:7050""){code}
should be
{code:java}
from hfc.fabric_ca import CAClient
 cli = CAClient(target=""127.0.0.1:7050""){code}",,DexHunter,GuillaumeCisco,rsoeldner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i004xz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,GuillaumeCisco,rsoeldner,,,,,,,"27/Jan/19 9:51 AM;DexHunter;related to FABP-184;;;","29/Jan/19 6:59 PM;GuillaumeCisco;can be closed;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric-ca register,FABP-184,36991,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Highest,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,21/Jan/19 11:33 PM,27/Jan/19 9:50 AM,28/Oct/23 2:25 AM,27/Jan/19 9:50 AM,,,,,0,,,Implement Fabric-ca register method for registering an user,,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0082f:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,"21/Jan/19 11:45 PM;GuillaumeCisco;https://gerrit.hyperledger.org/r/#/c/28855/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
use synchrous method instead of Rx,FABP-185,37140,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,25/Jan/19 3:57 PM,27/Jan/19 9:50 AM,28/Oct/23 2:25 AM,27/Jan/19 9:50 AM,,,,,0,,,"before moving to async/await, first we use the synchrous method for more intuitive testing",,DexHunter,,,,,,,,,,,,,,,,,,FABP-173,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i008y7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"27/Jan/19 9:50 AM;DexHunter;https://gerrit.hyperledger.org/r/#/c/28955/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
