Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Close connection file descriptor leak,STL-1022,27092,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,pschwarz,adamludvik,adamludvik,26/Jan/18 8:20 AM,10/Mar/18 6:47 AM,28/Oct/23 3:33 AM,10/Mar/18 6:47 AM,,,,,Validator Networking,,,,,,0,PerStability,,,,,"Following a long series of logging messages from the permission_verifier that a connection was closed due to a missing public key, the validator occasionally logs that it has run out of file descriptors. This is probably related to a file descriptor leak in the code that closes connections or the permission verifier.

 

Thread-14          permission_verifier No public key found, 4b1915e503b565

80d0c3da6cb45ece42432282edc9e59383d3c2eb97ce2b5a60cc227048ec271becba69d5fd25baf3bddc614b17c2bcf7c1bdcf9b47dbabbb28 is not permitted. Close connection.

 

Jan 23 08:57:58 ec2-54-237-202-181.compute-1.amazonaws.com [psimlr1-node8]    ERROR             ConnectionManager                       gossip Unhandled exception during peer refresh#012Traceback (most recent call last):#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/gossip/gossip.py"", line 734, in _get_peers_of_endpoints#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/interconnect.py"", line 1053, in get_connection_id_by_endpoint#012KeyError#012#012During handling of the above exception, another exception occurred:#012#012Traceback (most recent call last):#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/gossip/gossip.py"", line 460, in run#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/gossip/gossip.py"", line 541, in retry_dynamic_peering#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/gossip/gossip.py"", line 747, in _get_peers_of_endpoints#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/interconnect.py"", line 806, in add_outbound_connection#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/interconnect.py"", line 1331, in start#012  File ""/usr/lib/python3.5/threading.py"", line 914, in _bootstrap_inner#012

 File ""/usr/lib/python3.5/threading.py"", line 862, in run#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/interconnect.py"", line 471, in setup#012  File ""/usr/lib/python3/dist-packages/zmq/asyncio.py"", line 310, in __init__#012  File ""/usr/lib/python3.5/asyncio/unix_events.py"", line 49, in __init__#012  File ""/usr/lib/python3.5/asyncio/selector_events.py"", line 55, in __init__#012  File ""/usr/lib/python3.5/asyncio/selector_events.py"", line 116, in _make_self_pipe#012  File ""/usr/lib/python3.5/asyncio/unix_events.py"", line 53, in _socketpair#012  File ""/usr/lib/python3.5/socket.py"", line 478, in socketpair#012OSError: [Errno 24] Too many open files",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyur3:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Validator segfaults when under load,STL-1023,27095,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,adamludvik,adamludvik,adamludvik,26/Jan/18 8:31 AM,21/May/19 11:33 PM,28/Oct/23 3:33 AM,,,,,,Valdator Server,,,,,,0,Needs-Review,PerStability,,,,"Not much is known about this bug other than it happens sporadically when the validator is under load. Using systemd to restart the validator on failure seems to be a good bandage for this, but the issue needs to be diagnosed and resolved. The changes to test-poet-liveness in this branch cause the test to consistently reproduce this behavior, but how to generate and inspect the coredumps continues to be an open question",,adamludvik,dan.middleton@intel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwut3:",,,,,,Sprint 47,,,,,,,,,,,,,,,,,,,,adamludvik,dan.middleton@intel.com,,,,,,,"27/Apr/18 3:44 AM;dan.middleton@intel.com;[~adamludvik] any chance you remember which branch you allude to in the description?;;;",,,,,,,,,,
Improve logging around peering and unpeering,STL-1024,27103,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,adamludvik,adamludvik,27/Jan/18 12:39 AM,29/Mar/18 11:11 PM,28/Oct/23 3:33 AM,29/Mar/18 11:11 PM,,,,,,,,,,,0,PerStability,,,,,"Add more information to logs about a node's peers and why a node has unpeered. Logs such as the following are not sufficient:

{{Jan 10 10:56:20 ec2-54-175-28-85.compute-1.amazonaws.com [psimlr7-node0] DEBUG ConnectionManager gossip removing peer tcp://34.229.10.5:8800 because connection went away}}",,adamludvik,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyut3:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,3.0,,,,,,,,,,,,adamludvik,drozd,,,,,,,"29/Mar/18 11:11 PM;drozd;[https://github.com/hyperledger/sawtooth-core/pull/1504]

[https://github.com/hyperledger/sawtooth-core/pull/1512]

 ;;;",,,,,,,,,,
Explicitly cancel candidate blocks on chain update,STL-1025,27105,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,pschwarz,27/Jan/18 1:35 AM,31/Jan/18 1:38 AM,28/Oct/23 3:33 AM,31/Jan/18 1:38 AM,,,,,,,,,,,0,PerStability,,,,,"Currently, when the chain is updated and a candidate block is in progress, it is set to {{None}} - i.e. discarded. Its schedule is cancelled when the garbage collector reclaims the object's memory. This can happen at unpredictable times, which results blocks being published which should have been abandoned.

This should be converted to an explicit cancel of the candidate block.

 

count, number of claims

  28 1
 154 2
 211 3
 619 4
 442 5
 161 6
  52 7
  13 8
   6 9
   1 10
   1 11
   1 12
   1 15
   2 17
   1 21
   1 25
   1 28",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Jan/18 6:49 AM;adamludvik;psim_all_sorted.out;https://jira.hyperledger.org/secure/attachment/14422/psim_all_sorted.out",,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyutj:",,,,,,Sprint 47,,,,,,,,,,,,,,,,,,,,pschwarz,,,,,,,,"27/Jan/18 1:42 AM;pschwarz;See [https://stackoverflow.com/a/1481512|https://stackoverflow.com/a/1481512 for information on why it should not use the destructor.;;;",,,,,,,,,,
Wildcarded addresses cause stacktrace and the validator to hang,STL-1026,27107,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,boydjohnson,boydjohnson,27/Jan/18 2:38 AM,30/Jan/18 1:07 AM,28/Oct/23 3:33 AM,30/Jan/18 1:07 AM,,,,,,,,,,,0,,,,,,,"Attached is a stacktrace showing the error. The keyerror is on getting a context, so it seems likely that this is a scheduler - context manager interaction happening upon unscheduling.",boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Jan/18 2:36 AM;boydjohnson;stacktrace.txt;https://jira.hyperledger.org/secure/attachment/14421/stacktrace.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyutz:",,,,,,Sprint 47,,,,,,,,1.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,
Unhandled KeyError in validator context manager,STL-1027,27109,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,jaredcorduan,jaredcorduan,27/Jan/18 3:54 AM,06/Feb/18 3:28 AM,28/Oct/23 3:33 AM,03/Feb/18 5:16 AM,,,,,,,,,,,0,,,,,,"I get this error repeatedly when running a small number of transactions:

validator_1      | [2018-01-26 18:40:11.819 ERROR    threadpool] (Component) Unhandled exception during execution of task TpStateGetHandler.handle
validator_1      | Traceback (most recent call last):
validator_1      |   File ""/usr/local/lib/python3.6/dist-packages/sawtooth_validator-1.0.0rc6.dev1-py3.6.egg/sawtooth_validator/concurrent/threadpool.py"", line 85, in wrapper
validator_1      |     return_value = fn(*args, **kwargs)
validator_1      |   File ""/usr/local/lib/python3.6/dist-packages/sawtooth_validator-1.0.0rc6.dev1-py3.6.egg/sawtooth_validator/execution/tp_state_handlers.py"", line 36, in handle
validator_1      |     get_request.context_id, list(get_request.addresses))
validator_1      |   File ""/usr/local/lib/python3.6/dist-packages/sawtooth_validator-1.0.0rc6.dev1-py3.6.egg/sawtooth_validator/execution/context_manager.py"", line 304, in get
validator_1      |     addresses_to_find=addresses_not_in_ctx)
validator_1      |   File ""/usr/local/lib/python3.6/dist-packages/sawtooth_validator-1.0.0rc6.dev1-py3.6.egg/sawtooth_validator/execution/context_manager.py"", line 173, in _find_address_values_in_chain
validator_1      |     current_context = self._contexts[current_c_id]
validator_1      |   File ""/usr/local/lib/python3.6/dist-packages/sawtooth_validator-1.0.0rc6.dev1-py3.6.egg/sawtooth_validator/execution/context_manager.py"", line 535, in __getitem__
validator_1      |     return self.get(item)
validator_1      |   File ""/usr/local/lib/python3.6/dist-packages/sawtooth_validator-1.0.0rc6.dev1-py3.6.egg/sawtooth_validator/execution/context_manager.py"", line 547, in get
validator_1      |     return self._data[item]
validator_1      | KeyError: 'fcd733e6dafc4e14a0143f7ea7b3b396'",,boydjohnson,jaredcorduan,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyv9z:",,,,,,Sprint 48,,,,,,,,,,,,,,,,,,,,boydjohnson,jaredcorduan,pschwarz,,,,,,"28/Jan/18 2:11 AM;jaredcorduan;I am no longer seeing this issue on v1.0.0rc7.;;;","03/Feb/18 5:16 AM;pschwarz;Closing this, as it is reported resolved.;;;","03/Feb/18 5:21 AM;jaredcorduan;sounds good, thank you;;;","06/Feb/18 3:28 AM;boydjohnson;[https://github.com/hyperledger/sawtooth-core/pull/1382] Commenting to add context. I think this PR was what solved this issue.;;;",,,,,,,
Convert Dispatcher Queue Size to Logging Metric,STL-1028,27217,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,mfford,mfford,30/Jan/18 4:59 AM,21/Feb/18 1:19 AM,28/Oct/23 3:33 AM,21/Feb/18 1:19 AM,,,,,,,,,,,0,PerStability,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyuzr:",,,,,,Sprint 48,,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Move Reference Content out of Procedures,STL-1029,27219,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,mfford,mfford,30/Jan/18 5:49 AM,28/Feb/18 5:09 AM,28/Oct/23 3:33 AM,28/Feb/18 5:09 AM,,,,,,,,,,,0,,,,,,"* XO tutorial(s)
 * Docker/Ubuntu/AWS Sawtooth set-up procedures",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzyv07:",,,,,,Sprint 48,,,,,,,,5.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Add Logging Guidelines to Community Section,STL-1030,27220,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,achenette,mfford,mfford,30/Jan/18 5:52 AM,21/May/19 11:33 PM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,Documentation,Needs-Review,,,,,,achenette,adamludvik,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1033,,,,,,,,,,,"1|hzwz3z:",,,,,,Sprint 48,,,,,,,,3.0,,,,,,,,,,,,achenette,adamludvik,mfford,,,,,,"02/Feb/18 1:24 AM;adamludvik;Possible duplicate of 967;;;","02/Feb/18 5:37 AM;achenette;STL-967 is the source info - this one is for the the associated doc task.;;;",,,,,,,,,
Items Scheduled after Threadpools are shutdown,STL-1031,27255,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Low,,,pschwarz,pschwarz,31/Jan/18 7:49 AM,27/Jul/21 6:33 PM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,help-wanted,Needs-Review,PerStability,,,"The following exception occurs:

{code}
[2018-01-30 15:50:40.465 [Thread-32] dispatch ERROR] Unhandled exception while determining next
Traceback (most recent call last):
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/dispatch.py"", line 188, in do_next
    self._determine_next(message_id, future)
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/dispatch.py"", line 214, in _determine_next
    self._process(message_id)
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/dispatch.py"", line 180, in _process
    future = handler_manager.execute(connection_id, message.content)
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/dispatch.py"", line 328, in execute
    self._handler.handle, connection_id, message)
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/concurrent/threadpool.py"", line 110, in submit
    return super().submit(wrapper)
  File ""/usr/lib/python3.5/concurrent/futures/thread.py"", line 107, in submit
    raise RuntimeError('cannot schedule new futures after shutdown')
RuntimeError: cannot schedule new futures after shutdown
{code}

This is only an issue during a shutdown of the system.",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwu9b:5y",,,,,,Sprint 47,,,,,,,,,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,
Application Developer Guide Rewrite,STL-1032,27271,,Epic,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,mfford,mfford,mfford,01/Feb/18 2:30 AM,21/May/19 11:32 PM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-12,,,,,,,,,,,,"1|i00odj:02",,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Application Developer Guide Rewrite,STL-1033,27272,,Epic,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,mfford,mfford,mfford,01/Feb/18 2:32 AM,21/May/19 11:32 PM,28/Oct/23 3:33 AM,,,,,,,,,,,,0,,,,,,"Update/rewrite the Application Developer Guide to incorporate refreshed XO examples with separate state components and to generally ensure that the guide provides a consistent, approachable experience for new developers.",,mfford,oleks_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-12,,Application Developer Guide Rewrite,To Do,,,,,,,,,"1|i00odj:002",,,,,,,,,,,,,,,,,,,,,,,,,,mfford,oleks_p,,,,,,,,,,,,,,,,,
Block Info state values not available in Transactions,STL-1034,27275,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,pschwarz,pschwarz,pschwarz,01/Feb/18 3:23 AM,09/Feb/18 3:15 AM,28/Oct/23 3:33 AM,09/Feb/18 2:06 AM,,,,,Validator Txn Execution,,,,,,0,,,,,,"When the block-info batch injector is enabled, the batch info is not always available in every transaction. 

Steps to reproduce are forthcoming.",,dan.middleton@intel.com,jaredcorduan,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyv9r:",,,,,,Sprint 47,Sprint 48,,,,,,,,,,,,,,,,,,,dan.middleton@intel.com,jaredcorduan,pschwarz,,,,,,"01/Feb/18 3:57 AM;jaredcorduan;We are trying to read the block info from inside a transaction processor, not from the rest api. The rest api always looks good, there is always block info there. The trouble is attempting to write transaction processors which depend on block info.

I wrote a transaction processor that only does the following: 1) attempt to read block info config, 2) get the latest block number, 3) attempt to read the block info for the latest block, and 4) log what happens.

If you send off <10 of these transactions to the rest api, all is lovely. but once you start sending ~15 transactions in rapid fire (not batched together), you'll see the following behavior for one of the transactions: 

The first time the transaction processor attempts to use `apply`, block info config is there and has a latest block, but there is no block info data for that latest block at the associated address. (In fact, there is no block info for any block, even block zero.) The second time the transaction processor attempts to process the transaction (ie when it is doing the `apply` for consensus), the block info is there.

Every single time block_info is missing for `latest_block`, it's in the situation where the transaction processor sees the latest block as n, but the transaction actually ends up going into block n+1.;;;","01/Feb/18 6:21 AM;jaredcorduan;I cannot reproduce this issue when using PoET simulator.;;;","01/Feb/18 7:32 AM;pschwarz;This looks like it's an issue under dev mode, where the consensus module is trying to publish blocks as fast as possible.  So it will, minimally, include only the injected batch (i.e. block info) and at least one batch submitted to the validator.  Once consensus is committed, all other batches will be unscheduled, the block will be commit, and the unscheduled batches will be put into the next candidate block's schedule. 

This is also true for PoET, but the publish times are longer, so there's a higher likelihood that batches will be included in the next block.;;;","09/Feb/18 3:15 AM;dan.middleton@intel.com;[~pschwarz] do you have the resolution for this - maybe a PR #? ;;;",,,,,,,
.deb packages don't include dependency versions ,STL-1035,27280,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,ryanbeck,ryanbeck,01/Feb/18 4:33 AM,15/Feb/18 5:15 AM,28/Oct/23 3:33 AM,15/Feb/18 12:44 AM,,,,,,,,,,,0,,,,,,"Versions listed in the install_requires section of setup.py are not making it to the .deb packages.

From consensus/poet/simulator/setup.py:
 install_requires=[
 'cryptography>=1.7.1',
 'protobuf',
 'sawtooth-poet-common',
 'sawtooth-poet-simulator',
 'sawtooth-signing',
 'sawtooth-validator',
 ],

 

Output from dpkg info: 

# dpkg --info python3-sawtooth-poet-simulator_1.0.2~dev1-1_all.deb
 new debian package, version 2.0.
 size 11442 bytes: control archive=1202 bytes.
 35 bytes, 1 lines conffiles
 464 bytes, 11 lines control
 1475 bytes, 12 lines md5sums
 181 bytes, 9 lines * postinst #!/bin/sh
 435 bytes, 12 lines * prerm #!/bin/sh
 Package: python3-sawtooth-poet-simulator
 Source: sawtooth-poet-simulator
 Version: 1.0.2~dev1-1
 Architecture: all
 Maintainer: unknown <unknown@unknown>
 Installed-Size: 68
 Depends: python3-cryptography, python3-protobuf, python3-sawtooth-poet-common, python3-sawtooth-signing, python3-sawtooth-validator, python3:any (>= 3.3.2-2~)
 Section: python
 Priority: optional
 Homepage: https://github.com/hyperledger/sawtooth-core
 Description: Sawtooth PoET Simulator Enclave",,dan.middleton@intel.com,mfford,rberg2,ryanbeck,,,,,,,,,,,,,,,,,,,,,,,STL-988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzysf3:",,,,,,Sprint 48,,,,,,,,,,,,,,,,,,,,dan.middleton@intel.com,mfford,rberg2,ryanbeck,,,,,"15/Feb/18 4:43 AM;dan.middleton@intel.com;[~rberg2] can you please update with a commit ID or (when we add the feature to JIRA a fixed-in version)? ;;;","15/Feb/18 5:15 AM;rberg2;Sure! Fixed in master by commit [7795b77f2b7c45130321cd1cec555588272282ce|https://github.com/hyperledger/sawtooth-core/commit/7795b77f2b7c45130321cd1cec555588272282ce]
;;;",,,,,,,,,
Add in-process transactions metric,STL-1036,27294,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,dplumb,adamludvik,adamludvik,01/Feb/18 7:14 AM,14/Feb/18 1:07 AM,28/Oct/23 3:33 AM,14/Feb/18 1:07 AM,,,,,Validator Txn Execution,,,,,,0,PerStability,,,,,Add a metric to the executor to track the number of transactions that have been sent to a transaction processor and are awaiting a transaction response. This should be incremented whenever a new transaction process request is submitted and decremented whenever a response is received.,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyvjj:",,,,,,Sprint 47,Sprint 48,,,,,,,1.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
