Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"""ZMQError: Address already in use"" results in unfriendly traceback",STL-88,16324,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,jsmitchell,amundson,amundson,04/May/17 11:15 PM,10/Jun/17 6:25 AM,28/Oct/23 3:33 AM,10/Jun/17 6:25 AM,,,,,,,0,help-wanted,MVP,,,"It is possible to get an ""Address already in use"" error when the validator shuts down unclean and is restarted quickly.  The current error handling results in an unfriendly traceback being printed.

{noformat}
ubuntu@ubuntu-xenial:/project/sawtooth-core$ ./bin/validator -vv --public-uri tcp://localhost:8800/
[14:12:33.190 INFO     path] Skipping path loading from non-existent config file: /home/ubuntu/sawtooth/etc/path.toml
[14:12:33.190 INFO     keys] Loading signing key: /home/ubuntu/sawtooth/keys/validator.priv
[14:12:33.191 INFO     cli] config [path]: config_dir = ""/home/ubuntu/sawtooth/etc""
[14:12:33.192 INFO     cli] config [path]: key_dir = ""/home/ubuntu/sawtooth/keys""
[14:12:33.192 INFO     cli] config [path]: data_dir = ""/home/ubuntu/sawtooth/data""
[14:12:33.192 INFO     cli] config [path]: log_dir = ""/home/ubuntu/sawtooth/logs""
[14:12:33.193 DEBUG    core] database file is /home/ubuntu/sawtooth/data/merkle-00.lmdb
[14:12:33.193 DEBUG    core] state delta store file is /home/ubuntu/sawtooth/data/state-deltas-00.lmdb
[14:12:33.194 DEBUG    core] block store file is /home/ubuntu/sawtooth/data/block-00.lmdb
[14:12:33.197 DEBUG    selector_events] Using selector: ZMQSelector
Exception in thread InterconnectThread-5:
Traceback (most recent call last):
  File ""/usr/lib/python3.5/threading.py"", line 914, in _bootstrap_inner
    self.run()
  File ""/usr/lib/python3.5/threading.py"", line 862, in run
    self._target(*self._args, **self._kwargs)
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 348, in setup
    self._socket.bind(self._address)
  File ""zmq/backend/cython/socket.pyx"", line 487, in zmq.backend.cython.socket.Socket.bind (zmq/backend/cython/socket.c:5156)
  File ""zmq/backend/cython/checkrc.pxd"", line 25, in zmq.backend.cython.checkrc._check_rc (zmq/backend/cython/socket.c:7535)
zmq.error.ZMQError: Address already in use

[14:12:33.198 ERROR    cli] Address already in use
Traceback (most recent call last):
  File ""/project/sawtooth-core/validator/sawtooth_validator/server/cli.py"", line 214, in main
    validator.start()
  File ""/project/sawtooth-core/validator/sawtooth_validator/server/core.py"", line 458, in start
    self._service.start()
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 597, in start
    raise err
  File ""/usr/lib/python3.5/threading.py"", line 914, in _bootstrap_inner
    self.run()
  File ""/usr/lib/python3.5/threading.py"", line 862, in run
    self._target(*self._args, **self._kwargs)
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 348, in setup
    self._socket.bind(self._address)
  File ""zmq/backend/cython/socket.pyx"", line 487, in zmq.backend.cython.socket.Socket.bind (zmq/backend/cython/socket.c:5156)
  File ""zmq/backend/cython/checkrc.pxd"", line 25, in zmq.backend.cython.checkrc._check_rc (zmq/backend/cython/socket.c:7535)
zmq.error.ZMQError: Address already in use
[14:12:33.205 DEBUG    dispatch] Attempted to remove send_message function for connection ServerThread, but no send_message function was registered
[14:12:33.205 DEBUG    dispatch] Attempted to remove send_message function for connection ServerThread, but no send_message function was registered
[14:12:33.206 INFO     core] remaining threads: Thread-1 (_ContextReader), Thread-2 (_ContextWriter), Thread-3 (Dispatcher)
[14:12:35.209 INFO     core] All threads have been stopped and joined
{noformat}

This error should be cleaned up so we aren't showing a traceback.

Could we avoid this error experience by retrying the ZMQ in a loop for a (short) duration of time?",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxyw7:",,,,,,Sprint 36,,,,,,,,,,,3.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Need ""block inspector"" tool for inspecting data files off-line",STL-89,16328,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,amundson,amundson,amundson,04/May/17 11:33 PM,02/Mar/21 5:27 AM,28/Oct/23 3:33 AM,02/Mar/21 5:27 AM,sawtooth-core,,,,,,1,,,,,"In some cases, such as when diagnosing a bug, it would be helpful to have a tool which could print the contents of the data files in a human-readable format.

This is made more difficult by the fact that payloads are opaque, so the tool would need a pluggable capability to dump contents of specific transaction payloads.",,amundson,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxnef:",,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,amundson,boydjohnson,,,,,,,"05/May/17 12:02 AM;boydjohnson;Seems like a great tool, not just for debugging but for creating visuals of what is happening to the block chain over time. Probably at some later date, as I am working on the yaml file based tests for schedulers in this sprint, it would be nice to have a tool that can create the data that I am using in the yaml scheduler tests from the merkle state and the block store files.;;;","02/Mar/21 5:27 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to have been addressed in the current stable version of Sawtooth (v1.2), so we are updating its status to done. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.

Specifically, see the 'sawadm' command.;;;",,,,,,,,,,,,,,,,,,,,,
Remove support for sawtooth cluster subprocess backend,STL-90,16333,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,amundson,amundson,04/May/17 11:43 PM,02/Mar/21 5:27 AM,28/Oct/23 3:33 AM,02/Mar/21 5:27 AM,,,,,,,0,Needs-Review,,,,"Consider removing the subprocess backend of the 'sawtooth cluster' command, given that it is not currently heavily used but requires significant effort to maintain.

Please place support for the subprocess backend in the comments if you do not want this feature to be removed in 0.8.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxthb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,,,,,,,,"02/Mar/21 5:27 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to have been addressed in the current stable version of Sawtooth (v1.2), so we are updating its status to done. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Remove 'sawtooth cluster' command,STL-91,16334,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,amundson,amundson,04/May/17 11:43 PM,02/Mar/21 5:27 AM,28/Oct/23 3:33 AM,02/Mar/21 5:27 AM,,,,,,,0,Needs-Review,,,,"Consider removing the 'sawtooth cluster' command, given that it is not currently heavily used but requires significant effort to maintain.  This command can be replaced by using docker compose, which seems more flexible (at the expense of being docker-specific instead of sawtooth-specific).

Please place support for 'sawtooth cluster' in the comments if you do not want this feature to be removed in 0.8.",,amundson,,,,,,,,,,,,,,STL-92,,,,,,,,,,,,,,,,,,,,STL-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxthj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,,,,,,,,"02/Mar/21 5:27 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to have been addressed in the current stable version of Sawtooth (v1.2), so we are updating its status to done. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Remove all references to 'sawtooth cluster' command from documentation,STL-92,16335,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,amundson,amundson,04/May/17 11:51 PM,20/May/17 3:04 AM,28/Oct/23 3:33 AM,20/May/17 3:04 AM,,,,,,,0,MVP,,,,"Replace all references to 'sawtooth cluster' with alternatives such as docker compose.

Motivation behind this is two-fold.  First, we believe docker compose will be a better user experience overall.  Second, we may remove 'sawtooth cluster' (see STL-91).",,amundson,,,,,,,,,,,,,,,,,,,STL-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-48,,,,,,,,,,"1|hzxtnz:",,,,,,Sprint 34,,,,,,,,,,,3.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update xo tests,STL-93,16338,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,drozd,drozd,05/May/17 1:49 AM,06/Jun/17 7:57 AM,28/Oct/23 3:33 AM,06/Jun/17 7:57 AM,XO Family,,,,,,0,,,,,"The xo TP and smoke tests don't test very much right now. xo smoke, for instance, verifies that nothing breaks when xo is run, but doesn't do any state checking at all [1]. They should be more extensive.

[1] In this sense it's a true smoke test: ""The phrase smoke test comes from electronic hardware testing. You plug in a new board and turn on the power. If you see smoke coming from the board, turn off the power. You don't have to do any more testing.""",,drozd,,,,,,,,,,,,,,STL-61,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxyfr:",,,,,,Sprint 34,Sprint 35,Sprint 36,,,,,,,,,3.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update intkey tests and implementations to conform to spec,STL-94,16339,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,drozd,drozd,05/May/17 1:57 AM,18/May/17 11:48 PM,28/Oct/23 3:33 AM,17/May/17 1:09 AM,Go SDK,Java SDK,Javascript SDK,Python SDK,,,0,MVP,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-95,,,,,,,,,,"1|hzx9xb:",,,,,,Sprint 34,,,,,,,,,,,5.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8 Python SDK,STL-95,16343,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,05/May/17 4:22 AM,26/Jan/18 1:34 AM,28/Oct/23 3:33 AM,26/Jan/18 1:34 AM,,,,,,,0,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,0.8 Python SDK,Done,,,,,,,,"1|hzxsef:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xo CLI does not add nonce to transaction header,STL-96,16344,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,amundson,amundson,amundson,05/May/17 8:23 AM,13/May/17 1:01 AM,28/Oct/23 3:33 AM,13/May/17 1:01 AM,,,,,,,0,,,,,"Running ""xo create game000"" twice in a row submits exactly the same transaction, with the same id (thus same batch id).  It should instead add a nonce in the transaction header so these are treated as different transactions.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxtov:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarify Python REST instructions are for Python 3,STL-97,16345,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,delventhalz,amundson,amundson,05/May/17 8:36 AM,01/Jun/17 8:27 AM,28/Oct/23 3:33 AM,11/May/17 1:19 AM,Documentation,REST API,,,,,0,,,,,"The instructions for submitting a transaction to the REST API from a python client are Python 3 specific, but do not state the Python version requirement.

In Python 2.7, these instructions result in an error:

{noformat}
Python 2.7.12 (default, Nov 19 2016, 06:48:10)
[GCC 5.4.0 20160609] on linux2
Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.
>>> import secp256k1
>>>
>>> key_handler = secp256k1.PrivateKey()
>>> private_key_bytes = key_handler.private_key
>>> public_key_bytes = key_handler.pubkey.serialize()
/usr/local/lib/python2.7/dist-packages/secp256k1/__init__.py:228: UserWarning: implicit cast from 'char *' to a different pointer type: will be forbidden in the future (check that the types are as you expect; use an explicit ffi.cast() if they are correct)
  self.ctx, res_compressed, outlen, self.public_key, compflag)
>>>
>>> public_key_hex = public_key_bytes.hex()
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
AttributeError: 'str' object has no attribute 'hex'
{noformat}

The page should clearly indicate that it is for Python 3.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-98,,,,,,,,,,,,,,,,,,,,,,,,STL-329,,,,,,,,,,"1|hzxt3j:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Python 2.7 REST client instructions,STL-98,16346,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,delventhalz,amundson,amundson,05/May/17 8:44 AM,10/Aug/18 6:29 AM,28/Oct/23 3:33 AM,10/Aug/18 6:29 AM,Documentation,,,,,,0,won't-fix,,,,"The instructions for submitting a transaction to the REST API from a python client are Python 3 specific.

We should consider adding Python 2.7 support.

See also: STL-97.",,achenette,amundson,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-329,,,,,,,,,,"1|hzxtjz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,achenette,amundson,delventhalz,,,,,,"09/May/17 1:32 AM;delventhalz;My thinking is that we should not write Python 2.7 documentation, at least not in this case. The idea behind the documentation here is to provide examples to clarify the underlying concepts, not to document the prescribed way to do it in every possible language (and language version). 

In other words, if Python 2.7 is your jam, I'd recommend reading the Python 3 tutorial to learn what is needed, and then use your favorite libraries.;;;","10/Aug/18 6:28 AM;achenette;Closing as ""won't-fix"" (there are no current plans to add this information).;;;",,,,,,,,,,,,,,,,,,,,,
Remove bare excepts in python xo transaction processor,STL-99,16348,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,amundson,amundson,05/May/17 11:19 AM,05/Jun/18 1:56 AM,28/Oct/23 3:33 AM,05/Jun/18 1:56 AM,,,,,,,0,,,,,"The xo transaction processor's handler uses several bare except statements which could be replaced with ""except ValueError"".
",,amundson,dan.middleton@intel.com,ibansalankit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwum7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,dan.middleton@intel.com,ibansalankit,,,,,,"13/Jan/18 11:57 PM;ibansalankit;Is this Bug still unresolved? If yes, can I assign it to myself?;;;","04/Jun/18 11:26 PM;dan.middleton@intel.com;[~ibansalankit] sorry for the super late response. Feel free to assign anything like this that is unassigned to yourself.

I'm unsure if this is still an issue. I didn't see any bare excepts when I did a quick grep over the python xo code.

 ;;;","05/Jun/18 1:56 AM;dan.middleton@intel.com;Verified during sprint planning that this code was rewritten. This issue is no longer valid.

As mentioned above, though, feel free to self-assign any unassigned story if you would like to fix the issue.;;;",,,,,,,,,,,,,,,,,,,,
Duplicate interconnect connections cause block request spiral,STL-102,16359,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,adamludvik,adamludvik,05/May/17 10:32 PM,23/May/17 11:19 PM,28/Oct/23 3:33 AM,23/May/17 11:19 PM,,,,,,,0,MVP,,,,"I believe we have a peering bug which is being caught periodically by the poet-smoke test. Examples of the bug are here:
https://build.sawtooth.me/job/Sawtooth-Hyperledger/job/sawtooth-core/job/PR-409/4/console
https://build.sawtooth.me/job/Sawtooth-Hyperledger/job/sawtooth-core/job/master/228/console
https://build.sawtooth.me/job/Sawtooth-Hyperledger/job/sawtooth-core/job/master/227/console
https://build.sawtooth.me/job/Sawtooth-Hyperledger/job/sawtooth-core/job/master/220/console

Using this branch I got a 4/5 failure rate doing `run_docker_test poet-smoke`: https://github.com/aludvik/sawtooth-core/tree/poet-bug

I ran it with debug level logging, and committed the log with interconnect messages filtered out: https://github.com/aludvik/sawtooth-core/blob/poet-bug/poet-smoke-fail-no-interconnect

You can see at the end of the logging, it goes into a spiral of responding to block requests.",,adamludvik,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxvjr:",,,,,,Sprint 35,,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,pschwarz,,,,,,,"08/May/17 11:52 PM;pschwarz;It would be helpful to have logging for the REST API, in order to provide more information on what's failing.  This is STL-69  ;;;",,,,,,,,,,,,,,,,,,,,,,
"In docs, code blocks which include source files have many empty lines",STL-103,16360,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,amundson,amundson,05/May/17 11:17 PM,10/Aug/18 2:47 AM,28/Oct/23 3:33 AM,10/Aug/18 2:39 AM,Documentation,,,,,,0,Documentation,,,,"In our documentation, use of literalinclude results in empty lines at the end of the block (see attached image).

{noformat}
.. literalinclude:: ../../../protos/batch.proto
   :language: protobuf
   :caption: File: protos/batch.proto
   :linenos:
{noformat}
",,achenette,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/May/17 11:17 PM;amundson;image.png;https://jira.hyperledger.org/secure/attachment/10705/image.png",,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwujr:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,achenette,amundson,,,,,,,"05/May/17 11:18 PM;amundson; !image.png|thumbnail! ;;;","02/Mar/18 4:43 AM;achenette;It turns out that the problem is the line numbers.  The Sphinx theme has a bug with the line height for line numbers - it's different than the line height of the included content.  More info here: 

[https://github.com/rtfd/sphinx_rtd_theme/issues/417]

The simple fix is to turn off the line numbers (remove :linenos: ). There is, in theory, a fancier fix that involves editing a CSS file to carefully fine-tune the line height.  However, I would prefer to remove the line numbers because this is the only place they're used - the other code examples don't show line numbers. 

 ;;;","02/Mar/18 5:01 AM;achenette;The problem also occurs in the CLI Command Reference and Sys Admin Guide/Permissioning section, each time a command's usage statement (aka --help text) is included.  The correct fix here is to remove the line numbers, because there's no need to refer to lines in the --help text by line numbers.  ;;;","06/Mar/18 6:32 AM;achenette;It looks like the correct fix is to install {{sphinx_rtd_theme}} version 0.2.5b2 and make sure that this theme does not override any of the desired settings in the current Sawtooth documentation.

I don't know enough about sphinx themes & Python to do this. I shall unadopt this issue and put it back under ""Help Wanted"".;;;","10/Aug/18 2:39 AM;achenette;Closing as Done, because this problem no longer occurs.  It appears that the line-height problem corrected in a bugfix to _sphinx_rtd_theme_: [https://github.com/rtfd/sphinx_rtd_theme/issues/417] .

I verified the fix by checking the two instances of numbered code blocks in the Sawtooth documentation: 
 [https://sawtooth.hyperledger.org/docs/core/releases/latest/architecture/transactions_and_batches.html#transaction-data-structure] 

[https://sawtooth.hyperledger.org/docs/core/releases/latest/architecture/transactions_and_batches.html#batch-data-structure] 

 ;;;",,,,,,,,,,,,,,,,,,
Fix xo state format to handle hash collisions,STL-104,16362,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,amundson,amundson,05/May/17 11:45 PM,06/Jun/17 7:57 AM,28/Oct/23 3:33 AM,06/Jun/17 7:57 AM,XO Family,,,,,,0,help-wanted,,,,"Currently, the xo examples do not handle possible hash collisions.  Instead, we have warnings like the following in xo python:

{noformat}
            # NOTE: Since the game data is stored in a Merkle tree, there is a
            # small chance of collision. A more correct usage would be to store
            # a dictionary of games so that multiple games could be store at
            # the same location. See the python intkey handler for an example
            # of this.
            if stored_name != name:
                raise InternalError(""Hash collision"")
{noformat}

Since we use xo for our tutorials, we should provide a correct implementation which stores a list of games at the address instead of a single game, thus handling hash collisions properly.

Note that this will require an update to all xo TP implementations as well as any impacted documentation.",,amundson,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxyg7:",,,,,,Sprint 34,Sprint 35,Sprint 36,,,,,,,,,1.0,,,,,,,,,,,,amundson,pschwarz,,,,,,,"23/May/17 2:43 AM;pschwarz;This also needs to include the xo CLI ;;;",,,,,,,,,,,,,,,,,,,,,,
Add xo Transaction Family Specification to documentation,STL-105,16364,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,amundson,amundson,05/May/17 11:50 PM,01/Jun/17 8:28 AM,28/Oct/23 3:33 AM,06/May/17 2:11 AM,,,,,,,0,,,,,"We do not currently have a transaction family specification for xo in our docs.  Since we use xo as our example transaction family for tutorial purposes, it would make sense to also provide a transaction family specification.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-61,STL-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-329,,,,,,,,,,"1|hzxtiv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,,,,,,,,"06/May/17 2:12 AM;amundson;Closed as a duplicate.;;;",,,,,,,,,,,,,,,,,,,,,,
0.8 Burrow Family,STL-106,16366,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,amundson,mfford,mfford,06/May/17 12:30 AM,26/Jan/18 1:22 AM,28/Oct/23 3:33 AM,26/Jan/18 1:22 AM,,,,,,,0,,,,,Integrate the Hyperledger Sawtooth platform with EVM Burrow.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,0.8 Burrow Family,Done,,,,,,,,"1|hzxsbz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design burrow evm transaction payload format,STL-107,16367,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,amundson,amundson,06/May/17 12:32 AM,25/May/17 3:35 AM,28/Oct/23 3:33 AM,19/May/17 2:57 AM,Burrow EVM,,,,,,0,,,,,,,amundson,,,,,,,,,,,,,,,,,,,STL-112,STL-113,,,,,,,,,,,,,,STL-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-106,,,,,,,,,,"1|hzxtof:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design burrow evm state addressing and storage format,STL-108,16368,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,amundson,amundson,06/May/17 12:32 AM,25/May/17 3:35 AM,28/Oct/23 3:33 AM,12/May/17 11:53 PM,Burrow EVM,,,,,,0,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-106,,,,,,,,,,"1|hzxto7:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write rough draft of burrow evm transaction family specification,STL-109,16369,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,amundson,amundson,06/May/17 12:36 AM,25/May/17 3:35 AM,28/Oct/23 3:33 AM,19/May/17 2:57 AM,Burrow EVM,,,,,,0,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-107,STL-108,,,,,,,,,,,,,,,,,,,,,,,STL-106,,,,,,,,,,"1|hzxton:",,,,,,Sprint 34,,,,,,,,,,,2.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
